num,board,title,writer,upload_date,view,likes
922987,,성폭력예방 강의 내용 좋은데??,익명,06/01,1882,42
922953,,성폭력 뭐시기 강의 다 들었다,익명,06/01,3669,72
922950,,(스압)이경규의 양심냉장고 비하인드 스토리,익명,06/01,1039,70
922913,,협박 투의 이 말투가 너무 기분나쁘다,익명,06/01,1594,36
922899,,서강대 사캠 댓글 패기 개쩌네ㄷㄷㄷㄷ,익명,06/01,5485,161
922880,,요리대회인데 소스 뚜껑이 안열린다,익명,06/01,2612,151
923866,,이런 습관 어떻게 고침? 낮에 일어나면 하루 통으로 날려ㅜ,익명,06/02,1788,50
923863,,응통실 교수님께 힘내시라고 메일 보냈다ㅠㅠ,익명,06/02,2768,77
923855,,인하대 에타에 집단컨닝 썰,익명,06/02,4315,132
923798,,회사생활 즐겁게하는 정신나간  XX,익명,06/02,4826,191
923793,,군복무중 한쪽 눈을 실명한 병사.jpg,익명,06/02,2036,103
923730,,상반기가 다 가고 있네ㅎㅎ 새벽감성에 술 한 잔 홀짝이면서,익명,06/02,3959,165
923686,,지하방에서 산지가 십년이 넘었는데,익명,06/02,4215,153
923636,,19))23살 첫경험 고민 조언.jpg,익명,06/01,5547,198
923622,,ㅊㅇㅎ 신인 저세상 바꾸기 과제 점만 찍고 냈다,익명,06/01,4424,162
923596,,서강대 구성원 전국 교보문고 10%할인,익명,06/01,4518,126
923594,,나 참 스터디카페에서 롤하는넘은 첨보네 ㅋㅋㅋ,익명,06/01,4044,111
923568,,해야될게 너무 많아서 눈물 나옴,익명,06/01,3614,159
923492,,( 펌) 코스트코 가격표 보는법!,익명,06/01,2523,110
923451,,흔한 물리학 전공자.jpg,익명,06/01,570,25
923435,,미국 의사유머,익명,06/01,3328,109
923430,힘들어요,연애문제로 학교 상담센터 이용해보신 분 있나요,익명,06/01,1648,50
923409,,막내 온다고 설렌 이서진,익명,06/01,3025,106
924357,,(펌)니들 사람 잘못건드렸어..,익명,06/02,3853,121
924332,,산책하다 독사에게 물린 디씨인,익명,06/02,3601,129
924307,,프로포즈 직관 .gif,익명,06/02,3449,134
924269,,초딩 물리 선생님이 되기위해 알아야할것,익명,06/02,4072,192
924221,,39금 드립치는 이효리,익명,06/02,5371,133
924185,,장애를 극복한 아름다운 모습,익명,06/02,2595,56
924135,,공매도 한 짤로 이해하기.kakaotalk,익명,06/02,4239,108
924127,,저녁 장어닼ㅋㅋㅋㅋ대박,익명,06/02,1687,33
924098,,서담에 화장품 관련 게시글 연재하려구하는데,익명,06/02,1601,106
924073,,공부할 때 씻는 시간조차 아깝다는거,익명,06/02,3900,120
924066,,미국인들의 인성 by 김충익 교수님,익명,06/02,3936,123
924039,,연대 대나무숲..이런거 처음 받아보는데 이거 결투신청인가요?아무리 봐돜ㅋㅋㅋㅋㅋㅋㅋㅋ,익명,06/02,4573,163
924008,,한전 사장티콘 체신 근황..jpg,익명,06/02,3986,123
924002,,영문학 전공하면 당황해하는 일 거의 없을듯,익명,06/02,2919,88
923956,,안녕하세요 고양이빌런입니다.,고양이빌런,06/02,468,28
923939,,현재 뉴욕 자영업자 상황,익명,06/02,2758,78
923927,,방금 강남역에서 어떤여자..,익명,06/02,4795,176
923916,,양치승 관장한테 트레이닝 받은 개그맨들.jpg,익명,06/02,2102,63
923904,,이지은 vs 아이유,익명,06/02,3209,115
923890,,LA 흑인폭동때 우리 선조들의 대처...,익명,06/02,3199,158
923888,,이과들 집중시키는 방법,익명,06/02,2564,97
923880,,흑인 배우에게도 백인과 똑같은 기회를 달라!,익명,06/02,3606,158
924826,,채식주의자도 즐기는 꿔바로우,익명,06/03,2875,107
924821,,방금 인생 첫 번호따기 시도했다..,익명,06/03,2482,44
924803,,조교인데 퀴즈 문제를 너무 쉽게 냈나..,익명,06/03,3928,57
924796,,도서관 드디어 개방한다!!!!,익명,06/03,4130,103
924728,,[꿀팁] 내향적인 사람들을 이해하는 방법.JPG,익명,06/03,3217,132
924705,,19) 처음 고민이 됩니다ㅜㅜ,익명,06/03,3790,74
924651,,안녕하세요 고양이빌런입니다.,고양이빌런,06/03,335,27
924638,,한 분야에서 성공하려면 이정도는 해야..,익명,06/03,3973,118
924631,,트와이스 신곡 뮤비 표절 논란 생겼네,익명,06/03,1388,32
924585,,조지오웰이 천재라고 느꼈던 한 마디,익명,06/03,4337,208
924583,,"문과 고학번 ""개인적으로"" 학교 다니면서 잘한 것 같은 점 & 살짝 후회되는 점",익명,06/03,4663,121
924561,쉐복,서담 하다보면 전혀 예상치도 못한 곳에서 시비를 털려서,익명,06/03,3741,150
924536,,군인 때 헤어졌던 전 여자친구가,익명,06/03,4057,186
924518,,소개팅 주선,익명,06/03,4258,183
924506,,헤어진지 1년지난 전여친 카톡프사,익명,06/03,1947,32
924445,,방금 겪은 어이없는 일 레전드...,익명,06/03,6028,165
925294,,청담동에 건물 세운 문세윤,익명,06/04,2589,77
925292,,LG전자 상반기 채용 무산,익명,06/04,3253,42
925226,,서강대는 좋은학교야,익명,06/04,4458,105
925188,,여의도 파크원 조명 진짜 누가 설치했냐..,익명,06/04,4005,96
925185,,장애등급 받아본 사람있어?,익명,06/04,3206,138
925177,,이별이 처음인데,익명,06/04,672,25
925139,,로스쿨생 야밤에 자랑하고 싶은 거 하나...,익명,06/04,4841,180
925067,,근데 나는 부정행위가 일어난게 어쩔 수 없는 거라고 생각해..,익명,06/03,3438,61
925061,,옷입으면 말라보이는 타입.jpg,익명,06/03,5077,117
925051,,얘들아 여기 좀 익숙하지않냐,익명,06/03,4128,85
925043,,에이프릴 나은에게 밥먹여준 남학생.gif,익명,06/03,4193,171
925016,,펌)인터넷에 쓰여있는 자신의 연봉을 본 김연경 선수 반응,익명,06/03,3134,122
924957,,뭘 더 어떻게 티내야하냐,익명,06/03,3639,95
924886,,94년생 중등교사의 대학라이프.jpg,익명,06/03,4608,191
924873,,백종원 유튜브에서 한 발언때문에 욕먹음,익명,06/03,2533,76
924844,,동생이 웹툰 작가 데뷔함,익명,06/03,4126,157
924843,,이번 학기에 부정행위가 많이 발각되는 이유,익명,06/03,3473,108
925770,,와 오늘 썸녀에게 고백받는 줄ㅎㅎ,익명,06/04,2043,50
925764,,나 같은 아싸 없어? 부정행위 있어도..,익명,06/04,3548,138
925743,,펀쿨섹좌 친형의 동생디스,익명,06/04,3104,106
925679,,<<학교 주변 러닝코스 완벽정리>>,치즈케이크,06/04,3372,207
925670,,존잘남 인생 부러운이유,익명,06/04,1737,30
925661,,화난 남친/여친 살살 녹여주는 법,익명,06/04,3884,125
925622,,유예생 요새 잠을 못자네요,익명,06/04,2631,142
925549,뻘글,가끔 내 결혼식엔 대체 누가 올까 생각이들어ㅠ,익명,06/04,2844,86
925548,,12살 초딩의 악플 읽기.jpg,익명,06/04,3466,183
925544,,가엾은 스벅직원 ㅋㅋㅋ,익명,06/04,4022,138
925537,,제발 여친한테 잘해줘 ㅜ,익명,06/04,1991,26
925526,,코난 오브라이언 기생충,익명,06/04,2764,148
925521,,박찬호가 박세리 은퇴식 때 했던 말.jpg,익명,06/04,2525,95
925508,,펌) 이케아 조립이 어렵냐?,익명,06/04,2465,85
925491,,심심하다 잠시 삼행시 간다,익명,06/04,2165,124
925471,,응급실떡볶이 리뷰,익명,06/04,2909,97
925452,,강간 상황극 사건 재판 결과 떴다,익명,06/04,2536,40
925450,,대학교 들어와서 오히려 욕망 다 사라짐,익명,06/04,2730,88
925423,,댕댕이치킨 후기.jpg,익명,06/04,3000,194
925403,,미국판 단군신화,익명,06/04,2051,61
925395,,GS25 뉴서강대학사점) 6월 상반기 안내드립니다 + a,익명,06/04,893,35
925379,,어제 번호따기 시도했다던 글쓴이인데..,익명,06/04,2264,27
925373,,개콘 몰카범 잡힘,익명,06/04,3998,95
925346,,우리학교 화장실 관리 잘되는듯,익명,06/04,1461,36
925343,,요즘보면 미국보단 한국이 더 살기좋은나라같음,익명,06/04,3571,111
925330,,형님들... 일생일대의 위기를 맞은거같습다...,익명,06/04,1425,26
926218,,sp 공지 말도 안돼,익명,06/05,4423,87
926207,,카피콜...진짜 화,익명,06/05,4345,158
926154,,도서관 간식 후기(?),익명,06/05,4480,131
926115,,혹시 지금 도서관이고 간식거리에 관심 있는 다미?,익명,06/05,4335,122
926114,,아 존나 군대가기 싫다,익명,06/05,3085,144
926113,,30대가 집으로 양극화되고 있다..,익명,06/05,4896,102
926100,,피부과 재생관리 개쩐다,익명,06/05,1407,33
926088,,미국본사에서 누나 사진 퍼감..,익명,06/05,4734,117
926082,,고학번이 대학 다니며 느낀 점,익명,06/05,3267,98
926044,,회계법인 -> 증권사IB 이직간다..ㅠ,익명,06/05,2716,64
926015,,(변리사) 갓 2차 진입한 분들께,익명,06/05,1143,35
926008,,사라진 사람,익명,06/05,3927,152
